,ObjectID,FIRST_ROUND,XWIN_WORLD,YWIN_WORLD,LAST_ROUND,NALT,MAXSCORE
0,A202302020342262m172451,0,55.60926670062063,-17.414444030620288,0,3,0.984
1,A202302020346065m160837,0,56.52729646458474,-16.14374535240561,0,2,0.901
2,A202302021041599m062400,0,160.4999490760386,-6.400070621250517,0,2,0.908
3,A202302020338302m143431,0,54.62596822367495,-14.57537335811434,0,2,0.974
4,A202302020325536m162937,0,51.47358146294805,-16.493834052157144,0,3,0.966
5,A202302021059279m081153,0,164.8666666411853,-8.19829209595057,0,2,0.921
6,A202302021038387m080816,0,159.66147963629894,-8.13781057271626,0,2,0.956
7,A202302020326313m161626,0,51.63057611351488,-16.273921387491566,0,1,0.952
8,A202302021059085m051259,0,164.78545731551787,-5.216656675987835,0,2,0.944
9,A202302021046100m081100,0,161.5417839651802,-8.183424990751758,0,2,0.914
10,A202302020311466m162543,0,47.94453642471131,-16.428821760172113,0,3,0.979
11,A202302021058003m070526,0,164.50135718285594,-7.090672209449676,0,3,0.932
12,A202302021058178m075211,0,164.57427577873787,-7.869792636912149,0,3,0.963
13,A202302020315036m173538,0,48.76504139233395,-17.594125065207734,0,3,0.963
14,T202302021054055m055847,0,163.52313645541668,-5.979763845179947,0,4,0.969
15,A202302020328025m161856,0,52.01055430424934,-16.315736261316797,0,3,1.0
16,T202302021055024m074328,0,163.76022068238396,-7.724628908834207,0,2,0.93
17,A202302020259264m154258,0,44.86023911378856,-15.71633738791324,0,3,0.929
18,A202302020313039m164327,0,48.26652822370056,-16.72420829023508,0,1,0.916
19,A202302020313026m151810,0,48.260981615511255,-15.30286585283618,0,2,0.973
20,A202302021038128m080602,0,159.55344407994204,-8.100786057996102,0,2,0.923
21,T202302020311415m140036,0,47.9233105624206,-14.010213367932398,0,3,0.967
22,A202302020257467m164040,0,44.44466886767651,-16.677888802756126,0,1,0.962
23,A202302020312538m171524,0,48.22437760534342,-17.25666707112578,0,2,0.975
24,A202302020256430m163956,0,44.17922302363336,-16.66555968462093,0,3,0.979
25,A202302021057574m064529,0,164.48944147838287,-6.758110584959487,0,2,0.917
26,A202302020300538m164930,0,45.2242921463565,-16.82501028785613,0,3,0.979
27,A202302020301136m162304,0,45.306722841668886,-16.3847024386918,0,1,0.953
28,A202302020315310m145846,0,48.87947778860076,-14.979709065388342,0,2,0.974
29,A202302021103518m075305,0,165.96614263641382,-7.884780462892209,0,3,0.997
30,A202302021106599m052345,0,166.74974979751883,-5.39587059895637,0,2,0.908
31,T202302021104274m062456,0,166.11431151156404,-6.415741353213536,0,3,0.994
32,A202302020314088m142412,0,48.53679314918887,-14.40349083814745,0,1,0.934
33,A202302021058447m063710,0,164.68642939146514,-6.619554706983511,0,4,0.929
34,A202302021116418m072743,0,169.17450996762264,-7.461965572929277,0,1,0.92
35,A202302021115392m071009,0,168.91365803396772,-7.169192174590179,0,2,0.945
36,A202302021108243m060436,0,167.10166106971025,-6.076758600654639,0,2,0.953
37,A202302020344179m170115,0,56.07487149177027,-17.02086321931172,0,3,0.97
38,A202302021053009m073548,0,163.25381323400487,-7.59679861903463,0,2,0.912
39,A202302020324248m160529,0,51.10350936438208,-16.09160320108091,0,2,0.949
40,A202302021043337m062452,0,160.89058280179952,-6.414601560138577,0,2,0.955
41,A202302021114581m074053,0,168.74210226269295,-7.681607342970495,0,2,0.97
42,A202302021052118m073027,0,163.04941449772892,-7.507742007469797,0,2,0.91
43,A202302020312355m162332,0,48.14816110971246,-16.392337839252377,0,3,0.968
44,T202302020259108m171924,0,44.795262335016574,-17.323518249978957,0,3,0.993
45,A202302021039452m072904,0,159.93856737169347,-7.484537394844389,0,3,0.971
