,ObjectID,FIRST_ROUND,XWIN_WORLD,YWIN_WORLD,LAST_ROUND,NALT,MAXSCORE
0,A202208212131322p051250,3,322.8843365773185,5.213951686620682,4,2,0.75
1,A202208212129130p052010,3,322.3045285227631,5.336317448374507,4,3,0.917
2,A202208212128434p063218,3,322.1810645811803,6.5383773382245,4,4,0.845
3,A202208152115088p050413,2,318.7866960808114,5.070446264087089,4,7,0.996
4,A202208212107406p050529,3,316.9195224985267,5.091445354705393,4,2,0.8859999999999999
5,A202208212116564p053623,3,319.23511513303305,5.606418602010477,4,5,0.9740000000000001
6,A202208292131267p042517,4,322.86134304704706,4.42151163726596,4,2,0.831
7,A202208212113305p041757,3,318.37732560302004,4.299222583388194,4,4,0.8690000000000001
8,T202208212108437p051750,3,317.1822930701698,5.297349001602871,4,3,0.917
9,A202208292352088p000636,4,358.0366828292263,0.1100282922360483,4,2,0.79
10,T202208212111320p052119,3,317.88367025676513,5.355453043604956,4,2,0.897
11,A202208292345141p000338,4,356.30896766973456,0.0605914058763179,4,2,0.871
12,A202208212113176p040819,3,318.3233612322394,4.1388023298803915,4,4,0.883
13,A202208212126436p045134,3,321.6816961609012,4.859489131786502,4,5,0.965
14,A202208212109415p044156,3,317.42303459428183,4.698990548499708,4,8,0.785
15,A202208212107339p045831,3,316.8915643221136,4.9755203907596135,4,3,0.8290000000000001
16,A202208152109423p072243,2,317.42665187551887,7.37882586787693,4,7,0.976
17,A202208152124145p054322,2,321.06042759588314,5.723022442797673,4,11,0.93
18,T202208212109045p064822,3,317.26877400770945,6.806273765669582,4,3,0.9259999999999999
19,A202208082133539p050341,0,323.47460339677025,5.061399041381146,4,9,0.97
20,A202208212107585p054629,3,316.9941292649404,5.774734639421417,4,3,0.915
21,A202208292112351p045702,4,318.1465626282963,4.950762646440716,4,3,0.835
22,A202208152109208p042206,2,317.33692919753724,4.368395446166969,4,11,0.907
23,A202208152114336p055244,2,318.64007317669376,5.8790708829107565,4,9,0.9990000000000001
24,A202208212120056p064946,3,320.02370752436246,6.8296182099992215,4,4,0.9540000000000001
25,A202208212115147p043202,3,318.81157365018004,4.534074200088613,4,4,0.728
26,T202208212117515p042210,3,319.4648703506726,4.369520857593072,4,4,0.865
27,T202208292241025m000254,4,340.2605215566847,-0.0485506302595248,4,2,0.8270000000000001
28,A202208212120044p044759,3,320.0187113536512,4.799818991433481,4,3,0.8290000000000001
29,A202208292311111p002434,4,347.79636407217384,0.4096579795342082,4,2,0.835
30,A202208152108308p055409,2,317.1286990899253,5.902745618164089,4,4,0.935
31,A202208292241424m001321,4,340.4267929096052,-0.2226918498115332,4,2,0.847
32,A202208212112545p061824,3,318.22747950937736,6.306713770574177,4,6,0.917
33,A202208212112547p045216,3,318.2280138130674,4.871163351433625,4,3,0.763
34,A202208212130587p042122,3,322.74487543240366,4.3561500511235485,4,3,0.858
35,A202208212112109p060037,3,318.0457339719567,6.010296059275223,4,8,0.856
36,T202208292226223m003127,4,336.5932578812669,-0.5244283512694488,4,2,0.9620000000000001
37,A202208212129351p041751,3,322.39625895981595,4.297699806915335,4,3,0.76
38,A202208212130340p041333,3,322.64168494196235,4.225920457215853,4,4,0.733
